time,open,high,low,close,volume
25-09-2019,1284,1295,1268.85,1279.55,8316894
26-09-2019,1292,1298.8,1283.5,1296.8,8389212
27-09-2019,1292.5,1315,1284,1309.05,8712980
30-09-2019,1310,1335.75,1305.55,1332.25,11549746
01-10-2019,1337,1342,1293.3,1304.9,8192597
03-10-2019,1286,1314.7,1281.3,1311.05,6183107
04-10-2019,1319.9,1328.6,1303.85,1308.1,6853954
07-10-2019,1308.1,1320.8,1301.7,1310.1,4599818
09-10-2019,1308.7,1329.95,1292.5,1324.75,8040938
10-10-2019,1325,1369,1321,1362.75,16003744
11-10-2019,1363.7,1365.6,1336.55,1352.6,7587648
14-10-2019,1364.95,1364.95,1350.85,1358,6123412
15-10-2019,1362.5,1370,1354.3,1364.15,4422075
16-10-2019,1369.9,1379.65,1363.7,1372.35,8870701
17-10-2019,1375,1399,1372,1396.5,7332464
18-10-2019,1404,1427.9,1398.7,1416.35,12856410
22-10-2019,1425,1436.85,1403.35,1414.15,12703054
23-10-2019,1416.3,1425.95,1383.15,1392.4,8432964
24-10-2019,1401,1441.4,1386.55,1436.45,10351384
25-10-2019,1441.1,1441.45,1411.25,1431.2,6190013
27-10-2019,1441,1445,1430,1434.25,1378313
29-10-2019,1445.5,1480,1442.1,1467.05,11780494
30-10-2019,1480,1484.55,1460.3,1479.1,7470723
31-10-2019,1484,1489.65,1461.7,1464.35,8898168
01-11-2019,1455,1461.8,1441,1456.9,6356579
04-11-2019,1465.9,1471,1445.1,1457.65,6429329
05-11-2019,1463.1,1468.95,1441,1447.3,5799318
06-11-2019,1442.7,1446.45,1428.5,1434.9,6686289
07-11-2019,1435,1463,1432.2,1458.6,6438749
08-11-2019,1449,1459.65,1441.3,1445.5,5494844
11-11-2019,1439.1,1444.25,1422.55,1427.8,5192423
13-11-2019,1430,1475.9,1430,1472.3,11532364
14-11-2019,1476,1481.6,1455.8,1462.75,6518339
15-11-2019,1465.65,1486.8,1463.15,1470.85,7173674
18-11-2019,1472.65,1486,1455.4,1459.2,6435097
19-11-2019,1467,1514.9,1465,1509.75,13795569
20-11-2019,1555.05,1572.4,1543.2,1547.65,19904164
21-11-2019,1545,1556,1528.55,1537.6,6810577
22-11-2019,1542.1,1569.5,1537.6,1546.5,10218978
25-11-2019,1551.15,1564.8,1551,1561.55,6924313
26-11-2019,1568.1,1576.35,1556,1560.25,16152137
